"anio","mes","tot_Extorsion","tot_Homicidio","tot_Resto","tot_Robo_vehi","tot_Secuestro","tot_incid","tot_pob","tasa_incid","tasa_homic","tasa_extor","tasa_secue"
2005,4,278,1023,108537,12033,31,121902,105669369,115.361718493843,0.968114042585037,0.263084754485474,0.0293367891692435
2005,5,303,990,111332,11197,24,123846,105669369,117.201419079166,0.936884557340358,0.286743455428413,0.0227123529052208
2005,6,298,1026,108146,11082,13,120565,105669369,114.096451167414,0.97095308669819,0.282011715239825,0.0123025244903279
2005,7,292,928,99486,11402,24,112132,105669369,106.115898165343,0.878210979001871,0.27633362701352,0.0227123529052208
2005,8,265,839,105875,12157,25,119161,105669369,112.767778522459,0.793986003645011,0.250782229995146,0.0236587009429383
2005,9,194,890,105423,11772,18,118297,105669369,111.950133817871,0.842249753568605,0.183591519317202,0.0170342646789156
2005,10,227,900,107541,12301,25,120994,105669369,114.502434475595,0.85171323394578,0.21482100456188,0.0236587009429383
2005,11,210,890,105014,11864,25,118003,105669369,111.671907494782,0.842249753568605,0.198733087920682,0.0236587009429383
2005,12,191,932,99034,11824,18,111999,105669369,105.990033876326,0.881996371152742,0.180752475204049,0.0170342646789156
2006,1,222,995,103556,12041,52,116866,107155391,109.062174949275,0.928558041470821,0.207175764026655,0.0485276564386761
2006,2,220,882,101691,11191,64,114048,107155391,106.432349259964,0.823103711132928,0.205309315702091,0.0597263463860628
2006,3,277,1003,116200,12379,62,129921,107155391,121.24541638787,0.936023834769078,0.258503092952178,0.0578598980614984
2006,4,229,959,106624,11610,50,119472,107155391,111.494157116183,0.89496197162866,0.213708333162631,0.0466612081141116
2006,5,272,1049,115048,12371,64,128804,107155391,120.203004998601,0.978952146234061,0.253836972140767,0.0597263463860628
2006,6,279,986,113531,12001,63,126860,107155391,118.388817227124,0.92015902401028,0.260369541276743,0.0587931222237806
2006,7,258,938,106177,11994,71,119438,107155391,111.462427494665,0.875364264220733,0.240771833868816,0.0662589155220385
2006,8,336,957,111522,12734,59,125608,107155391,117.220420575947,0.893095523304096,0.31356331852683,0.0550602255746517
2006,9,293,976,110692,12230,60,124251,107155391,115.95403538773,0.910826782387458,0.273434679548694,0.0559934497369339
2006,10,308,1038,115463,12436,60,129305,107155391,120.670550303904,0.968686680448957,0.287433041982927,0.0559934497369339
2006,11,252,1002,106982,12826,64,121126,107155391,113.037709880598,0.935090610606796,0.235172488895122,0.0597263463860628
2006,12,211,1021,101113,12993,64,115402,107155391,107.695934775694,0.952821869690159,0.196910298241551,0.0597263463860628
2007,1,257,798,110163,12763,28,124009,108744845,114.036669968126,0.733827888577155,0.236333041809936,0.0257483469676195
2007,2,241,720,112433,12460,28,125882,108744845,115.759050463496,0.662100350595929,0.221619700685582,0.0257483469676195
2007,3,267,911,127056,13236,59,141529,108744845,130.147778499293,0.837740860267905,0.245528880012657,0.0542554453960553
2007,4,235,912,115512,12150,30,128839,108744845,118.47825982004,0.838660444088177,0.216102197763949,0.0275875146081637
2007,5,290,1010,127203,13411,35,141949,108744845,130.534003703808,0.928779658474845,0.266679307878916,0.0321854337095243
2007,6,326,894,121719,13451,43,136433,108744845,125.461579351187,0.822107935323279,0.299784325408712,0.0395421042717013
2007,7,258,795,116579,13439,35,131106,108744845,120.562956340597,0.731069137116339,0.237252625630208,0.0321854337095243
2007,8,272,795,119700,13869,28,134664,108744845,123.834835573125,0.731069137116339,0.250126799114018,0.0257483469676195
2007,9,242,830,117674,14251,26,133023,108744845,122.325798524059,0.763254570825863,0.222539284505854,0.0239091793270752
2007,10,281,865,122994,14786,35,138961,108744845,127.786287248835,0.795440004535387,0.258403053496467,0.0321854337095243
2007,11,225,885,113743,14521,44,129418,108744845,119.010698851978,0.81383168094083,0.206906359561228,0.0404616880919735
